,infinitive,past,edit_distance
33,convolute,convoluted,1
34,escribe,escribed,1
35,preface,prefaced,1
36,renegue,renegued,1
37,underachieve,underachieved,1
38,shamble,shambled,1
39,conjure,conjured,1
40,regularize,regularized,1
41,rupture,ruptured,1
42,rouse,roused,1
123,interlineate,interlined,3
215,delimitate,delimited,3
236,fillagree,filigreed,3
282,shoe,shod,1
310,degustate,degusted,3
334,have,had,2
340,slide,slid,1
347,hide,hid,1
354,disorientate,disoriented,3
365,escape,scaped,2
419,flee,fled,1
