,e,a,i,u,o,oo,ee,voiceless_lst,voiceless_2lst,voiced_lst,voiced_2lst,d_,t_,c_,vowel_cnts,lst_letter,lst_2letter,syll_number,label
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,2,d,ld,1,1
2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,ld,1,1
6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,ld,1,1
7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,rd,1,1
8,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
9,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,1
10,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,y,ay,1,2
11,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,y,ay,1,2
12,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,y,ay,1,2
13,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,p,ep,1,3
14,2,0,0,0,0,0,1,0,0,1,1,1,0,0,1,d,ed,1,3
15,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,l,el,1,3
16,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,p,ep,1,3
17,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,t,et,1,3
18,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,p,ep,1,3
19,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,p,ep,1,3
20,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,p,ep,1,3
21,2,0,0,0,0,0,1,0,0,1,1,1,0,0,1,d,ed,1,3
22,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,t,et,1,4
23,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,id,1,4
24,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,t,st,1,4
25,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,t,ut,1,4
26,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,t,it,1,4
27,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,t,it,1,4
28,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,t,it,1,4
29,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,t,et,1,4
30,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,t,rt,1,4
31,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,t,ut,1,4
32,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,t,ut,1,4
33,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,k,ak,1,5
34,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,k,ak,1,5
35,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,l,al,1,5
36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,e,ve,1,5
37,1,0,0,0,2,1,0,0,1,0,0,0,0,0,2,e,se,1,5
38,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,e,ze,1,5
39,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,e,ke,1,5
40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,e,ke,1,5
41,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,e,ve,1,5
42,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,e,se,1,6
43,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,e,se,1,6
44,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,de,1,6
45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,ve,1,6
46,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,e,te,1,6
47,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,ne,1,6
48,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,e,de,1,6
49,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,ve,1,6
50,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,ve,1,6
51,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,e,de,1,6
52,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,r,ar,1,7
53,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,r,ar,1,7
54,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,r,ar,1,7
55,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,r,ar,1,7
56,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,w,ow,1,8
57,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,w,ow,1,8
58,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,w,ow,1,8
59,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,w,ow,1,8
60,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,k,ck,1,9
61,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,g,ng,1,9
62,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,g,ng,1,9
63,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,g,ng,1,9
64,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,10
65,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,10
66,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,10
67,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,1,10
68,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,r,er,2,11
69,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2,t,pt,2,11
70,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,l,il,1,11
71,1,2,0,1,0,0,0,0,1,0,0,0,0,0,3,e,te,3,11
72,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2,t,ct,2,11
73,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,d,nd,2,11
74,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,d,nd,2,11
75,1,0,0,1,2,0,0,0,1,0,0,0,0,0,3,e,te,3,13
76,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,e,ce,2,13
77,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,e,ue,1,13
78,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3,e,re,2,13
79,2,1,1,1,0,0,0,0,0,0,1,0,0,0,4,e,ze,4,13
80,2,1,2,0,0,0,0,0,1,0,0,0,0,0,3,e,te,4,13
81,2,1,0,1,0,0,0,0,1,0,0,0,0,0,3,e,te,3,13
82,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,y,my,2,12
83,0,0,1,1,0,0,0,0,1,1,1,0,0,0,2,y,fy,2,12
84,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,y,ry,2,12
85,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,y,ry,1,12
86,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,y,fy,3,12
87,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,y,ry,1,12
88,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,y,fy,3,12
89,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,y,fy,3,12
90,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,y,my,2,12
91,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,y,sy,1,12
92,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,y,ey,2,12
93,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,c,ic,2,14
94,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,c,ic,2,14
95,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,c,ic,2,14
96,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,c,oc,2,14
97,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,c,lc,1,14
98,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4,c,ac,1,14
99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,c,ic,1,14
100,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,c,ac,2,14
101,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,c,ac,2,14
102,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,c,ic,2,14
