outwit,outwitted.outwitted
rebel,rebelled.rebelled
hog,hogged.hogged
hob,hobbed.hobbed
travel,travelled.travelled
hop,hopped.hopped
diagram,diagrammed.diagrammed
entrammel,entrammelled.entrammelled
fib,fibbed.fibbed
fig,figged.figged
-
jemmy,jemmied.jemmied
unify,unified.unified
decry,decried.decried
freezedry,freezedried.freezedried
classify,classified.classified
vary,varied.varied
glorify,glorified.glorified
simplify,simplified.simplified
dummy,dummied.dummied
busy,busied.busied
-
traffic,trafficked.trafficked
mimic,mimicked.mimicked
frolic,frolicked.frolicked
havoc,havocked.havocked
talc,talcked.talcked
bivouac,bivouacked.bivouacked
physic,physicked.physicked
shellac,shellacked.shellacked
tarmac,tarmacked.tarmacked
picnic,picnicked.picnicked
-
convolute,convoluted.convoluted
escribe,escribed.escribed
preface,prefaced.prefaced
renegue,renegued.renegued
underachieve,underachieved.underachieved
shamble,shambled.shambled
conjure,conjured.conjured
regularize,regularized.regularized
rupture,ruptured.ruptured
rouse,roused.roused
-
fawn,fawned.fawned
foul,fouled.fouled
prefix,prefixed.prefixed
forgather,forgathered.forgathered
ruck,rucked.rucked
scold,scolded.scolded
sputter,sputtered.sputtered
swivel,swiveled.swiveled
befoul,befouled.befouled
yellow,yellowed.yellowed
-
strike,struck.struck
hold,held.held
swing,swung.swung
outfight,outfought.outfought
undercut,undercut.undercut
ring,rung.rung
overwrite,overwrote.overwritten
freeze,froze.frozen
untread,untrod.untrodden
underlie,underlay.underlain
outlay,outlaid.outlaid
enwind,enwound.enwound
slay,slew.slain
spit,spit.spit
spin,spun.spun
split,split.split
beset,beset.beset
seek,sought.sought
mishit,mishit.mishit
creep,crept.crept
overgrow,overgrew.overgrown
overhang,overhung.overhung
smell,smelt.smelled
hurt,hurt.hurt
tear,tore.torn
leave,left.left
address,addrest.addrest
outthink,outthought.outthought
babysit,babysat.babysat
abide,abode.abode
indwell,indwelt.indwelt
say,said.said
unlearn,unlearnt.unlearnt
take,took.taken
drive,drove.driven
wind,wound.wound
underlet,underlet.underlet
forsake,forsook.forsaken
overthrow,overthrew.overthrown
clad,clad.clad
mean,meant.meant
rebuild,rebuilt.rebuilt
resell,resold.resold
overspill,overspilt.overspilt
uprise,uprose.uprisen
learn,learnt.learnt
cling,clung.clung
founder,founded.founded
sell,sold.sold
diecast,diecast.diecast
set,set.set
see,saw.seen
winterfeed,winterfed.winterfed
outbreed,outbred.outbred
jerrybuild,jerrybuilt.jerrybuilt
kneel,knelt.knelt
underlay,underlaid.underlaid
awake,awoke.awoken
swim,swam.swum
shrive,shrove.shriven
spring,sprun.sprung
send,sent.sent
let,let.let
weed,weed.weed
retell,retold.retold
slit,slit.slit
bend,bent.bent
roughcast,roughcast.roughcast
interlineate,interlined.interlined
shut,shut.shut
spill,spilt.spilt
put,put.put
scend,sended.sended
impulsebuy,impulsebought.impulsebought
copyread,copyread.copyread
misunderstand,misunderstood.misunderstood
underset,underset.underset
typewrite,typewrote.typewritten
wring,wrung.wrung
summons,summoned.summoned
forcefeed,forcefed.forcefed
overspend,overspent.overspent
unteach,untaught.untaught
drink,drank.drunk
resit,resat.resat
become,became.become
soothsay,soothsaid.soothsaid
unbind,unbound.unbound
unstick,unstuck.unstuck
withstand,withstood.withstood
behold,beheld.beheld
crosscut,crosscut.crosscut
upspring,upsprung.upsprung
undershot,undershot.undershot
overrun,overran.overrun
rewind,rewound.rewound
countersink,countersank.countersunk
unreeve,unrove.unrove
bespeak,bespoke.bespoken
break,broke.broken
hamstring,hamstrung.hamstrung
rewrite,rewrote.rewritten
grave,graven.graven
do,did.done
reread,reread.reread
speak,spoke.spoken
spellbind,spellbound.spellbound
mistake,mistook.mistaken
sting,stung.stung
hang,hung.hung
interweave,interwove.interwoven
spread,spread.spread
overfly,overflew.overflown
fight,fought.fought
flatter,flatted.flatted
repay,repaid.repaid
bottlefeed,bottlefed.bottlefed
overbuild,overbuilt.overbuilt
bring,brought.brought
cost,cost.cost
curse,curst.curst
prepay,prepaid.prepaid
dive,dove.dived
bear,bore.borne
halter,halted.halted
fling,flung.flung
breed,bred.bred
browbeat,browbeat.browbeaten
begin,began.begun
dream,dreamt.dreamt
gnaw,gnawn.gnawn
burst,burst.burst
retread,retrod.retrodden
rerun,reran.rerun
cleave,clove.cloven
forbear,forbore.forborne
breastfeed,breastfed.breastfed
read,read.read
underbuy,underbought.underbought
unstring,unstrung.unstrung
restring,restrung.restrung
throw,threw.thrown
lower,lowed.lowed
overpay,overpaid.overpaid
undertake,undertook.undertaken
forswear,forswore.forsworn
upbuild,upbuilt.upbuilt
handfeed,handfed.handfed
sneak,snuck.snuck
bless,blest.blessed
heave,hove.hove
outrun,outran.outrun
interplead,interpled.interpled
overdrive,overdrove.overdriven
upsweep,upswept.upswept
steal,stole.stolen
quote,quoth.quoted
undersell,undersold.undersold
lipread,lipread.lipread
geld,gelt.gelt
delimitate,delimited.delimited
oversleep,overslept.overslept
grind,ground.grinded
gild,gilt.gilt
run,ran.run
shine,shone.shone
misspend,misspent.misspent
foreswear,foreswore.foresworn
draw,drew.drawn
go,went.gone
skewer,skewed.skewed
unspeak,unspoke.unspoken
foresee,foresaw.foreseen
shake,shook.shaken
win,won.won
meet,met.met
